"","AAPL","AAL","AEP","F","FB","JPM","KO","LMT","M","MSFT","MU","NKE","SPG","T","TIF"
"2013-02-01",-0.0309337021668971,-0.0595238095238095,0.0331198932850543,-0.0262548262548262,-0.120400258231117,0.0397449317692866,0.0397421836873157,0.0130079079196073,0.0402429784987586,0.0127503820491663,0.108465608465609,0.00758556891766893,-0.00824077171436788,0.0321931292844746,0.021444927756654
"2013-03-01",0.00285455364105935,0.263588905435592,0.0393246411770756,0.0428231562252182,-0.0612844036697249,-0.0298446250958554,0.0444214348031653,0.0968181477272727,0.0180049157180009,0.0291367636380131,0.190930787589499,0.0835475211164158,-0.00188840089503994,0.0217209412419941,0.0354377137916788
"2013-04-01",0.000271043233704527,-0.00412486765615028,0.0575776052317991,0.0425855513307984,0.0856137607505865,0.0326590609494113,0.0467359803841736,0.0266265963518419,0.0659655353728488,0.156938023175882,-0.0561122244488979,0.0777834291741544,0.123044888888144,0.0209866454343595,0.059534065868075
"2013-05-01",0.0156963756004258,0.0396449704142012,-0.109080303324908,0.143690736688548,-0.123154483255311,0.113854360899994,-0.0552799406907659,0.0680190359478872,0.0838565508455853,0.0543807887843377,0.239915074309979,-0.0305031141667647,-0.0653114012721759,-0.0659369211408684,0.0556460233441911
"2013-06-01",-0.118293237207872,-0.0654524758110414,-0.0226975338280228,-0.0133928571428571,0.0217658726899383,-0.032973053672834,0.00300072503122162,0.0248511475980129,-0.00703351261894913,-0.0103152143085838,0.226883561643836,0.032760298410639,-0.0511895748542227,0.0117176329398325,-0.0635125104591477
"2013-07-01",0.141225072176631,0.178440925700365,0.0350602732259999,0.0911440853264383,0.47909969771301,0.0556923459804444,-0.000747918206234766,0.107505108865066,0.00708333333333333,-0.0781702640946651,-0.0760642009769714,-0.0119347047738694,0.0135511559707144,-0.00367237267387721,0.0915706530241984
"2013-08-01",0.0766579607905629,-0.164857881136951,-0.0765911359909875,-0.0408766611893758,0.122010927228558,-0.0933070339135116,-0.0474052371554273,0.0191474770442688,-0.0808853951179148,0.0489950376884423,0.0249244712990937,-0.00158928803526026,-0.0901537599625615,-0.0408278423589453,-0.0301848942224905
"2013-09-01",-0.0214893327873212,0.173267264851485,0.0128504442254778,0.0420012327361807,0.216517287078777,0.0229566598645687,-0.00785749083289677,0.0419049590247502,-0.0261084852577087,-0.00359290397647294,0.287398599852616,0.156319643425661,0.0178534663458334,-0.000295654726830907,-0.00635453240365025
"2013-10-01",0.0963817449976609,0.158755282634772,0.0805075469668997,0.0142264366196541,-0.000398188333665006,-0.00290187662801089,0.0446145447567439,0.0453939072035929,0.0656344118326784,0.064002435817381,0.0120206646834953,0.0429515693832598,0.0426365278080107,0.0703725901833234,0.0332810610827046
"2013-11-01",0.0638415967018173,0.0687301351265424,0.00469686165670358,-0.00175341895070624,-0.0637323454238666,0.110205663364267,0.0156684104119282,0.0624718932794928,0.155063909020518,0.0768144874329286,0.19343891402715,0.0446145447567439,-0.0304109670616447,-0.0273481207914883,0.125931555536985
"2013-12-01",0.00890179692060911,0.0753833049403747,-0.00679980861028884,-0.0966042154566744,0.162518705063548,0.0220202547707049,0.0278676792203951,0.0493400585775401,0.00262868954670248,-0.0188827952037033,0.0308056872037914,-0.0063179176143543,0.0154154232604473,-0.00142002276114828,0.0408346425940616
"2014-01-01",-0.107696738468136,0.328712831683168,0.0442875248486296,-0.0304601425793907,0.144922190487752,-0.0533515560875513,-0.0844831981485549,0.0151352074496109,-0.00374533693837686,0.0114942528735633,0.0593103908045978,-0.0736266785350966,0.0176131269999189,-0.0523321956769055,-0.103362762485048
"2014-02-01",0.0512185384172634,0.100745189291958,0.0284777703651349,0.0287433155080214,0.0941345533003035,0.0263728138299708,0.0100476203067161,0.0754754403160709,0.0875939833159025,0.0124207452431289,0.0499131922780731,0.0748113404203525,0.041655909261324,-0.0417166866746699,0.120927969204761
"2014-03-01",0.0199528742374726,-0.00893587868941237,0.00916332651069074,0.0136452241715399,-0.120070071867807,0.0684617916226682,0.0120418583235116,0.00579175590033709,0.0247148284701897,0.0699556494399465,-0.0219099205494038,-0.0567050290316716,0.0168019569005948,0.0983401190103352,-0.0761393887399464
"2014-04-01",0.0993963794084702,-0.0418032263280451,0.0621792538491908,0.0352564102564101,-0.00763617172522668,-0.0779113667914902,0.0550957320227625,0.00551331764538965,-0.0313712425135563,-0.0143937538719807,0.103972992392223,-0.0123206607094504,0.0560975905069014,0.0179641003706872,0.0155542190236977
"2014-05-01",0.072717782433531,0.145138294838894,-0.00854865250792325,0.0179567182662539,0.058882570406199,-0.00732404430153621,0.00294187293596782,-0.00298528696835187,0.0428347379418423,0.0133662617145416,0.0945635109278902,0.0542838686379092,0.02163387899828,-0.00644257685034788,0.136244213881454
"2014-06-01",0.0276618981075607,0.0697210906374504,0.0453608639310541,0.0486617366994078,0.0630332079468121,0.0368903904984703,0.0354436812515277,-0.0178429459642998,-0.0312238943266638,0.018563801137367,0.152500909408884,0.00832141420770172,-0.00108138887678877,-0.00310121220464599,0.00844981356202346
"2014-07-01",0.0287312816098138,-0.095670416565885,-0.067778339609109,-0.0127610208816704,0.079655237336079,0.000867736911970507,-0.0724740303948529,0.0388229027268812,-0.00396413305756649,0.035011965587243,-0.07283769126441,-0.00541593782509675,0.0114866671366771,0.00650449642238438,-0.0263341546134663
